Title,Opening Date,Theatre ID,Theatre Name (from Show Info),Production Type,Intermissions,Show Type,Show ID,Year,Closing Date,N Performances,Other Titles,Previews Date,Running Time,Official Website,Show Type Simple,Show Never Opened,Run Time,Revival,Pre-Broadway,Limited Run,Repertory
The Spirit of the Air,1851-04-07,7544,Brougham's Lyceum Theatre,Original Production,1.0,Opera,7287,1851,1851-04-24,13,"The Spirit of the Air, or, The Enchanted Star (full title)",,,,Opera,False,,False,,True,True
The Vision of the Sun,1851-04-07,5017,Broadway Theatre,Original Production,1.0,Opera,7737,1851,1851-05-15,30,"The Vision of the Sun, or, the Orphan of Peru (full title)",,,,Opera,False,,False,,,
The World's Fair,1851-02-10,7544,Brougham's Lyceum Theatre,Original Production,1.0,Musical,7930,1851,1851-03-06,20,"The World's Fair, or, Columbia in the Clouds (full title)",,,,Musical,False,,False,,True,True
The World's Fair,1851-02-15,5658,Burton's Chamber Street Theatre,Original Production,1.0,,7931,1851,,,,,,,,False,,False,,True,True
The Peri,1852-12-13,7537,Broadway Theatre,Original Production,,Musical,312215,1852,1832-12-25,12,,,,,Musical,False,,False,,,
Uncle Tom's Cabin,1852-08-23,7620,Purdy's New National,Original Production,,Play,313555,1852,,,,,,,Play,False,,False,,,
The Basket Maker's Wife,1852-12-17,7414,Niblo's Garden,Original Production,1.0,Opera,3390,1852,1852-12-23,3,The Devil's in It (alternate title),,,,Opera,False,,False,,True,True
The Bohemian Girl,1852-12-22,5649,Bowery Theatre,Revival,1.0,Opera,3626,1852,1852-12-31,9,"The Bohemian Girl, or, the Merry Zingara (full title)",,,,Opera,False,,True,,,
The Enchantress,1852-05-31,7414,Niblo's Garden,Original Production,1.0,Opera,4395,1852,1852-08-30,4,The Enchantress! (alternate title),,,,Opera,False,,False,,True,True
The Magic Deer,1852-03-08,5259,National Theatre,,1.0,,5816,1852,1852-03-12,5,,,,,,False,,,,,
Paul Clifford,1852-01-19,5017,Broadway Theatre,Original Production,1.0,Opera,6552,1852,1852-02-07,18,,,,,Opera,False,,False,,,
Camille,1853-12-09,7537,Broadway Theatre,Original Production,,Play,312092,1853,,,,,,,Play,False,,False,,,
The Bohemian Girl,1853-06-20,7414,Niblo's Garden,Revival,1.0,Opera,3627,1853,1853-08-16,,"The Bohemian Girl, or, the Merry Zingara (full title)",,,,Opera,False,,True,,True,True
First Come- First Served,1853-02-21,7545,Wallack's Lyceum Theatre,Original Production,1.0,Operetta,4539,1853,1853-03-02,6,,,,,Musical,False,,False,,True,True
The Pet of the Petticoats,1853-03-25,7545,Wallack's Lyceum Theatre,Original Production,1.0,Operetta,6586,1853,,,,,,,Musical,False,,False,,True,True
The Review,1853-02-01,7545,Wallack's Lyceum Theatre,Original Production,1.0,Musical,6872,1853,1853-05-13,,"The Review, or, the Wags of Windsor (full title)",,,,Musical,False,,False,,True,True
Shylock,1853-10-29,5658,Burton's Chamber Street Theatre,Original Production,1.0,Burlesque,7154,1853,,4,"Shylock, or, the Merchant of Venice Preserved (full title)",,,,Burlesque,False,,False,,,
Apollo in New York,1854-12-11,5658,Burton's Chamber Street Theatre,Original Production,1.0,Play with Music,3247,1854,1855-01-06,18,,,,,Play,False,,False,,True,True
The Beggar's Opera,1854-12-20,5017,Broadway Theatre,Revival,1.0,Operetta,3424,1854,1855-02-17,,,,,,Musical,False,,True,,True,True
The Bohemian Girl,1854-10-12,5017,Broadway Theatre,Revival,1.0,Opera,3628,1854,1855-02-17,18,"The Bohemian Girl, or, the Merry Zingara (full title)",,,,Opera,False,,True,,True,True
The Enchantress,1854-06-04,7414,Niblo's Garden,Original Production,1.0,Opera,4397,1854,1854-08-05,,The Enchantress! (alternate title),,,,Opera,False,,False,,True,True
The Enchantress,1854-12-25,5017,Broadway Theatre,Revival,1.0,Opera,4398,1854,1855-02-17,,The Enchantress! (alternate title),,,,Opera,False,,True,,True,True
Faustus,1854-05-29,5017,Broadway Theatre,Original Production,1.0,Opera,4481,1854,1854-06-17,18,"Faustus, or, the Demon of the Drachenfels (full title)",,,,Opera,False,,False,,True,True
Monsieur Jacques,1854-12-18,5658,Burton's Chamber Street Theatre,,1.0,Musical,6073,1854,1855-05-15,4,,,,,Musical,False,,,,,
Francesca da Rimini,1855-09-26,7537,Broadway Theatre,Original Production,,Play,313613,1855,,,,,,,Play,False,,False,,,
Adrienne Lecouveur,1855-09-06,7087,[Venue Name unknown],Original Production,,Play,313632,1855,,,,,,,Play,False,,False,,,
The Beggar's Opera,1855-09-14,7414,Niblo's Garden,Revival,1.0,Operetta,3425,1855,1855-11-03,,,,,,Musical,False,,True,,True,True
The Bohemian Girl,1855-06-02,7414,Niblo's Garden,Revival,1.0,Opera,3629,1855,1855-11-03,,"The Bohemian Girl, or, the Merry Zingara (full title)",,,,Opera,False,,True,,True,True
Cinderella,1855-01-15,5017,Broadway Theatre,Original Production,1.0,Opera,4024,1855,1855-02-17,,"Cinderella, or, the Little Glass Slipper (full title)",,,,Opera,False,,False,,True,True
The Daughter of St. Mark,1855-06-18,7414,Niblo's Garden,Original Production,1.0,Opera,4192,1855,1855-06-28,10,,,,,Opera,False,,False,,True,True
Guy Mannering,1855-01-01,5017,Broadway Theatre,Original Production,1.0,Musical,4928,1855,1855-02-17,,"Guy Mannering, or, the Gipsy's Prophecy (full title)",,,,Musical,False,,False,,True,True
King Charming,1855-12-24,5017,Broadway Theatre,,1.0,Opera,5442,1855,1856-02-16,34,"King Charming, or, the Blue Bird of Paradise (full title)",,,,Opera,False,,,,,
Maritana,1855-05-25,7414,Niblo's Garden,Original Production,1.0,Opera,5887,1855,1855-11-03,,,,,,Opera,False,,False,,True,True
The Marriage of Georgette,1855-04-09,7414,Niblo's Garden,Original Production,1.0,Operetta,5904,1855,1855-04-09,1,,,,,Musical,False,,False,,,
Po-Ca-Hon-Tas,1855-12-24,7545,Wallack's Lyceum Theatre,Original Production,1.0,,6690,1855,1856-08-16,,,,,,,False,,False,,True,True
A Queen of a Day,1855-06-02,7414,Niblo's Garden,Original Production,1.0,Opera,6812,1855,1855-11-03,,,,,,Opera,False,,False,,True,True
Rip Van Winkle,1855-09-27,7414,Niblo's Garden,Original Production,1.0,Opera,6888,1855,1855-10-23,17,,,,,Opera,False,,False,,True,True
Life in New York,1856-08-18,5649,Bowery Theatre,Original Production,,Musical,312150,1856,1856-09-20,18,,,,,Musical,False,,False,,,
Hiawatha,1856-12-25,7545,Wallack's Lyceum Theatre,Original Production,1.0,Opera,5077,1856,1857-01-21,24,"Hiawatha, or, Ardent Spirits and Laughing Water (full title)",,,,Opera,False,,False,,,
Met-A-Mora,1856-09-15,5649,Bowery Theatre,Revival,1.0,Opera,6002,1856,1856-09-20,6,Met-a-Mora (alternate title),,,,Opera,False,,True,,True,True
Novelty,1856-02-22,5731,Laura Keene's Varieties,Original Production,1.0,Musical,6298,1856,1856-05-03,,,,,,Musical,False,,False,,True,True
